category,output_class,precision,recall,f1-score,support
request,weighted avg,0.93,0.53,0.38,8590.0
search_and_rescue,0,0.01,-0.01,-0.0,8326.0
search_and_rescue,1,-3.7,11.11,10.31,264.0
search_and_rescue,macro avg,-1.54,0.35,0.64,8590.0
search_and_rescue,weighted avg,-0.07,0.0,0.02,8590.0
security,0,0.0,0.01,0.01,8423.0
security,1,33.33,0.0,0.59,167.0
security,macro avg,6.77,0.01,0.01,8590.0
security,weighted avg,0.17,0.01,0.01,8590.0
shelter,0,-1.34,0.56,-0.42,7810.0
shelter,1,7.4,-34.55,-24.52,780.0
shelter,macro avg,2.72,-9.95,-9.24,8590.0
shelter,weighted avg,-0.64,-0.88,-1.74,8590.0
shops,0,0.0,0.0,0.0,8550.0
shops,1,0.0,0.0,0.0,40.0
shops,macro avg,0.0,0.0,0.0,8590.0
shops,weighted avg,0.0,0.0,0.0,8590.0
storm,0,-1.16,0.33,-0.43,7749.0
storm,1,0.55,-22.8,-15.28,841.0
storm,macro avg,-0.37,-7.46,-6.22,8590.0
storm,weighted avg,-1.01,-0.88,-1.4,8590.0
tools,0,0.0,0.0,0.0,8541.0
tools,1,0.0,0.0,0.0,49.0
tools,macro avg,0.0,0.0,0.0,8590.0
tools,weighted avg,0.0,0.0,0.0,8590.0
transport,0,-0.05,-0.02,-0.04,8185.0
transport,1,-7.11,-11.43,-11.03,405.0
transport,macro avg,-3.29,-0.93,-1.55,8590.0
transport,weighted avg,-0.33,-0.07,-0.12,8590.0
water,0,0.46,-0.07,0.2,8026.0
water,1,-1.08,24.07,16.97,564.0
water,macro avg,-0.29,5.32,5.39,8590.0
water,weighted avg,0.37,0.4,0.71,8590.0
weather_related,0,-3.13,0.93,-1.22,6168.0
weather_related,1,1.17,-13.39,-7.47,2422.0
weather_related,macro avg,-1.01,-5.07,-4.06,8590.0
weather_related,weighted avg,-1.94,-2.23,-2.76,8590.0
