category,output_class,precision,recall,f1-score,support
related,0,0.5667265110712149,0.7736928104575164,0.654231433506045,1224.0
related,1,0.9216407355021217,0.8181818181818182,0.866835173606492,3982.0
related,macro avg,0.7441836232866683,0.7959373143196673,0.7605333035562685,5206.0
related,weighted avg,0.8381956700577441,0.8077218593930081,0.8168492001368517,5206.0
request,0,0.9531211448309894,0.8925600739371534,0.9218470349600286,4328.0
request,1,0.5967042497831744,0.7835990888382688,0.6774987690792713,878.0
request,macro avg,0.7749126973070819,0.8380795813877111,0.79967290201965,5206.0
request,weighted avg,0.8930108809331829,0.8741836342681522,0.8806373197384948,5206.0
offer,0,0.9949563530552862,0.9907282209774,0.9928377855207123,5177.0
offer,1,0.058823529411764705,0.10344827586206896,0.075,29.0
offer,macro avg,0.5268899412335254,0.5470882484197345,0.5339188927603562,5206.0
offer,weighted avg,0.9897416292969954,0.9857856319631195,0.9877249741914574,5206.0
aid_related,0,0.8206943040107854,0.8020421607378129,0.8112610361485924,3036.0
aid_related,1,0.7315765966949531,0.7548387096774194,0.7430256293944205,2170.0
aid_related,macro avg,0.7761354503528692,0.7784404352076162,0.7771433327715065,5206.0
aid_related,weighted avg,0.783547660738531,0.7823665001920861,0.7828186941093006,5206.0
medical_help,0,0.9661738351254481,0.9034352744030163,0.9337518943494263,4774.0
medical_help,1,0.37870619946091644,0.6504629629629629,0.4787052810902896,432.0
medical_help,macro avg,0.6724400172931823,0.7769491186829895,0.706228587719858,5206.0
medical_help,weighted avg,0.9174250801106424,0.882443334613907,0.8959915914435587,5206.0
medical_products,0,0.9788280581693756,0.9278329616866005,0.952648558642939,4933.0
medical_products,1,0.3283018867924528,0.6373626373626373,0.43337484433374845,273.0
medical_products,macro avg,0.6535649724809142,0.7825977995246189,0.6930117014883437,5206.0
medical_products,weighted avg,0.9447147956288646,0.91260084517864,0.9254181083919961,5206.0
search_and_rescue,0,0.9823943661971831,0.9358721389108129,0.9585691188358932,5068.0
search_and_rescue,1,0.1402116402116402,0.38405797101449274,0.2054263565891473,138.0
search_and_rescue,macro avg,0.5613030032044116,0.6599650549626528,0.5819977377125203,5206.0
search_and_rescue,weighted avg,0.9600698913247274,0.9212447176334998,0.9386049042392642,5206.0
security,0,0.9858899415440435,0.9569555859909998,0.9712073073868149,5111.0
security,1,0.10204081632653061,0.2631578947368421,0.14705882352941177,95.0
security,macro avg,0.5439653789352871,0.610056740363921,0.5591330654581134,5206.0
security,weighted avg,0.9697613078721911,0.9442950441797926,0.9561681014770083,5206.0
military,0,0.9918550193443291,0.9639817929942608,0.9777197912484946,5053.0
