evaluation_type,weighted_f1,weighted_precision,weighted_recall,macro_f1,macro_precision,macro_recall,safety_recall,total_violations,violations_per_1k,n_samples
baseline,0.9038334128789665,0.9240194411405003,0.9037143887486476,0.7784445527044271,0.8750694191023409,0.7592747516550967,0.914678110697324,9166,1760.6607760276604,5206
hierarchy,0.8472994719852076,0.837820557946872,0.9133910325760308,0.7227167682859633,0.8036962908071383,0.7679447688483365,0.9519704913802958,0,0.0,5206
