category,output_class,precision,recall,f1-score,support
related,0,0.7242424242424242,0.39052287581699346,0.5074309978768577,1224.0
related,1,0.8358996920369556,0.9542943244600703,0.8911819887429644,3982.0
related,macro avg,0.7800710581396899,0.6724086001385319,0.6993064933099111,5206.0
related,weighted avg,0.8096475799008614,0.8217441413753361,0.8009570150933074,5206.0
request,0,0.9172278948511841,0.9755083179297597,0.9454708319337141,4328.0
request,1,0.824212271973466,0.5660592255125285,0.6711681296421337,878.0
request,macro avg,0.870720083412325,0.7707837717211441,0.8083194807879239,5206.0
request,weighted avg,0.9015406653301244,0.906454091432962,0.8992092544054759,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.7848484848484848,0.8530961791831357,0.8175505050505051,3036.0
aid_related,1,0.7660020986358866,0.6728110599078341,0.7163886162904809,2170.0
aid_related,macro avg,0.7754252917421858,0.7629536195454849,0.7669695606704929,5206.0
aid_related,weighted avg,0.7769928071532604,0.77794852093738,0.775383524910426,5206.0
medical_help,0,0.9275787825406147,0.9926686217008798,0.9590205403217646,4774.0
medical_help,1,0.6391752577319587,0.14351851851851852,0.23440453686200377,432.0
medical_help,macro avg,0.7833770201362866,0.5680935701096992,0.5967125385918842,5206.0
medical_help,weighted avg,0.9036467190144257,0.922205147906262,0.8988910525202632,5206.0
medical_products,0,0.9551804423748544,0.9979728360024326,0.9761078616040448,4933.0
medical_products,1,0.8076923076923077,0.15384615384615385,0.25846153846153846,273.0
medical_products,macro avg,0.8814363750335811,0.5759094949242932,0.6172847000327917,5206.0
medical_products,weighted avg,0.9474462393843944,0.9537072608528621,0.938474852342058,5206.0
search_and_rescue,0,0.9740484429065744,0.999802683504341,0.9867575462512171,5068.0
search_and_rescue,1,0.75,0.021739130434782608,0.04225352112676056,138.0
search_and_rescue,macro avg,0.8620242214532872,0.5107709069695618,0.5145055336889889,5206.0
search_and_rescue,weighted avg,0.9681093946697118,0.9738762965808683,0.9617207511172996,5206.0
security,0,0.9817518248175182,1.0,0.990791896869245,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908759124087591,0.5,0.4953959484346225,5206.0
security,weighted avg,0.963836645532527,0.9817518248175182,0.9727117527657915,5206.0
military,0,0.9735674319891955,0.9986146843459331,0.9859320046893317,5053.0
military,1,0.6956521739130435,0.10457516339869281,0.18181818181818182,153.0
military,macro avg,0.8346098029511195,0.551594923872313,0.5838750932537567,5206.0
military,weighted avg,0.9653997342393585,0.9723396081444488,0.9622997697874327,5206.0
child_alone,0,1.0,1.0,1.0,5206.0
child_alone,macro avg,1.0,1.0,1.0,5206.0
child_alone,weighted avg,1.0,1.0,1.0,5206.0
water,0,0.9651810584958217,0.993650143383859,0.97920872022608,4882.0
water,1,0.8277777777777777,0.45987654320987653,0.5912698412698413,324.0
water,macro avg,0.8964794181367997,0.7267633432968678,0.7852392807479607,5206.0
water,weighted avg,0.9566296441752979,0.9604302727621975,0.9550650020582311,5206.0
food,0,0.9451941042142412,0.9863518197573656,0.9653344641153397,4616.0
food,1,0.8380462724935732,0.5525423728813559,0.6659856996935649,590.0
food,macro avg,0.8916201883539072,0.7694470963193607,0.8156600819044524,5206.0
food,weighted avg,0.9330509577072889,0.9371878601613522,0.9314090374905132,5206.0
shelter,0,0.9415310427968656,0.992165996188863,0.9661855670103093,4723.0
shelter,1,0.8384279475982532,0.39751552795031053,0.5393258426966292,483.0
shelter,macro avg,0.8899794951975595,0.6948407620695868,0.7527557048534692,5206.0
shelter,weighted avg,0.9319653887475129,0.9369957741067998,0.9265825614698737,5206.0
