evaluation_type,weighted_f1,weighted_precision,weighted_recall,macro_f1,macro_precision,macro_recall,safety_recall,total_violations,violations_per_1k,n_samples
baseline,0.9038334128789665,0.9240194411405003,0.9037143887486476,0.7784445527044271,0.8750694191023409,0.7592747516550967,0.914678110697324,9166,1760.6607760276604,5206
hierarchy,0.8902083366991447,0.8965141164291539,0.9074407981728573,0.7672745263224316,0.8542683163445628,0.7611530696243188,0.914678110697324,0,0.0,5206
